DF -- Arizona -- ARI
DF -- Atlanta -- ATL
DF -- Baltimore -- BAL
DF -- Buffalo -- BUF
DF -- Carolina -- CAR
DF -- Chicago -- CHI
DF -- Cincinnati -- CIN
DF -- Cleveland -- CLE
DF -- Dallas -- DAL
DF -- Denver -- DEN
DF -- Detroit -- DET
DF -- Green Bay -- GB
DF -- Houston -- HOU
DF -- Indianapolis -- IND
DF -- Jacksonville -- JAC
DF -- Kansas City -- KC
DF -- Los Angeles -- LA
DF -- Miami -- MIA
DF -- Minnesota -- MIN
DF -- New England -- NE
DF -- New Orleans -- NO
DF -- New York -- NYG
DF -- New York -- NYJ
DF -- Oakland -- OAK
DF -- Philadelphia -- PHI
DF -- Pittsburgh -- PIT
DF -- San Diego -- SD
DF -- San Francisco -- SF
DF -- Seattle -- SEA
DF -- Tampa Bay -- TB
DF -- Tennessee -- TEN
DF -- Washington -- WAS
PK -- Adam Vinatieri -- IND
PK -- Andrew Franks -- MIA
PK -- Billy Cundiff -- BUF
PK -- Blair Walsh -- MIN
PK -- Brandon McManus -- DEN
PK -- Cairo Santos -- KC
PK -- Caleb Sturgis -- PHI
PK -- Chandler Catanzaro -- ARI
PK -- Chris Boswell -- PIT
PK -- Cody Parkey -- PHI
PK -- Connor Barth -- TB
PK -- Dan Bailey -- DAL
PK -- Dan Carpenter -- BUF
PK -- Dustin Hopkins -- WAS
PK -- Graham Gano -- CAR
PK -- Greg Zuerlein -- LA
PK -- Jason Myers -- JAC
PK -- Jordan Gay -- BUF
PK -- Josh Brown -- NYG
PK -- Josh Lambo -- SD
PK -- Josh Scobee -- PIT
PK -- Justin Tucker -- BAL
PK -- Kai Forbath -- NO
PK -- Kai Forbath -- WAS
PK -- Kyle Brindza -- TB
PK -- Mason Crosby -- GB
PK -- Matt Bryant -- ATL
PK -- Matt Prater -- DET
PK -- Mike Nugent -- CIN
PK -- Nick Folk -- NYJ
PK -- Nick Novak -- HOU
PK -- Phil Dawson -- SF
PK -- Randy Bullock -- HOU
PK -- Randy Bullock -- NYJ
PK -- Robbie Gould -- CHI
PK -- Ryan Succop -- TEN
PK -- Sebastian Janikowski -- OAK
PK -- Shayne Graham -- ATL
PK -- Stephen Gostkowski -- NE
PK -- Steven Hauschka -- SEA
PK -- Travis Coons -- CLE
PK -- Zach Hocker -- LA
PK -- Zach Hocker -- NO
